"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
3727.72455334146,-2.21100485060497,0.483212103703162,-4.57564045614884,4.74765311959297e-06,0.000558158871103452,"EP10_000019"
898.824592394403,-1.29262384237788,0.356127173292959,-3.62966922862282,0.000283784633414135,0.0182974231840452,"EP10_000090"
2731.81136623286,-4.03672671012056,0.453661697931694,-8.8980990207561,5.6811323019964e-19,5.12059391486609e-16,"EP10_000119"
44496.2125209891,-4.67980719177508,0.420523702063722,-11.1285218141306,9.11342223193697e-29,1.23213468575788e-25,"EP10_000120"
12692.0007236797,-5.08805871527192,0.405380559402695,-12.5513140609626,3.90967496275824e-36,1.05717610992983e-32,"EP10_000121"
874.277152020039,-2.39566518449906,0.34805289642383,-6.88304912590591,5.85848123453641e-12,3.16826665163729e-09,"EP10_000122"
481.030292716621,-2.05112347558576,0.297992655045857,-6.88313433520744,5.85497651950614e-12,3.16826665163729e-09,"EP10_000123"
384.481875953021,1.35607127651634,0.278070014901727,4.87672601806991,1.07861085575126e-06,0.000162031319663967,"EP10_000138"
2781.30677088815,-1.86040118666238,0.360390066463763,-5.16218775094748,2.4408029777956e-07,4.71423660854236e-05,"EP10_000239"
2185.57992170135,-1.70145817146953,0.426921385440297,-3.98541330909147,6.73627682959224e-05,0.00551966440824771,"EP10_000240"
238.83396250828,-2.21165659276665,0.641380745168666,-3.44827407031847,0.000564181244457996,0.0331640453264005,"EP10_000580"
1169.80053801621,-2.63169967645165,0.674534402603116,-3.9015054922263,9.55962922832378e-05,0.0076027168921728,"EP10_000626"
1131.35059091494,-2.53549345183041,0.654231122065247,-3.87553169868544,0.000106392127854878,0.00821955182055972,"EP10_000627"
791.233459562367,-2.64870955287171,0.685222092530058,-3.8654759993097,0.000110872752124807,0.00832777560404106,"EP10_000628"
614.612529655048,-3.07771787440973,0.609361396640916,-5.05072669745006,4.40132421731941e-07,7.93412045575446e-05,"EP10_000629"
11733.1059801203,-2.69240028662148,0.562897665542852,-4.78310792784147,1.72605386165653e-06,0.00024564471799575,"EP10_000630"
432.101294774734,-3.19160172873466,0.547094640600183,-5.8337287406679,5.4202214030531e-09,2.09375409626508e-06,"EP10_000812"
387.496517000597,-2.88545457527488,0.58155911493876,-4.96158430184475,6.99205115380566e-07,0.000111214743058179,"EP10_000813"
378.683909002479,-3.04755941758526,0.605371577678692,-5.03419640094631,4.7985750875488e-07,8.10959189795748e-05,"EP10_000814"
1118.80456098809,-3.0059430190377,0.533707163943976,-5.63219537250438,1.77929949490235e-08,5.34580648246218e-06,"EP10_000815"
1420.43139468118,-2.79963151165996,0.595648399330643,-4.70014108122515,2.59981817811527e-06,0.000351495417681185,"EP10_000819"
1130.23860220104,-2.54859659070342,0.573871230764274,-4.44106003939113,8.95168123798715e-06,0.000930974848750664,"EP10_000820"
1110.78613145,-2.65545087379748,0.503532544092756,-5.27364299477794,1.33741956291605e-07,2.95402508190518e-05,"EP10_000821"
615.36904687016,-2.64094579958843,0.50183142415047,-5.26261543716433,1.42020436630057e-07,2.95402508190518e-05,"EP10_000822"
759.64404743026,-3.57901543329316,0.627921388133866,-5.6997826494328,1.1996027470786e-08,4.05465728512565e-06,"EP10_000833"
1010.73265847132,-3.64041963117083,0.615337388531347,-5.91613592643799,3.2959286310385e-09,1.48536516972135e-06,"EP10_000834"
1080.75925558887,-2.33747383023766,0.514540917787103,-4.54283371726874,5.5503032165722e-06,0.000600320795904449,"EP10_000839"
1228.94237810052,-1.91997917406712,0.514366495559448,-3.73270652471029,0.000189433262993011,0.0134796721877132,"EP10_001011"
822.112037641364,-1.0476481261818,0.288665028164837,-3.62928662623987,0.000284205537622004,0.0182974231840452,"EP10_001412"
1298.79321716299,-1.11299015280572,0.333814263664521,-3.33415996245222,0.000855574390881788,0.0453622186851834,"EP10_001436"
1153.83846447139,-1.12757339469932,0.312872928075632,-3.60393403684562,0.000313436635428812,0.0197100619116164,"EP10_001437"
1834.10495419589,-1.33047081395001,0.309155847776903,-4.30356023836276,1.68075121802957e-05,0.00168324121983406,"EP10_001438"
3444.14180876771,-1.91728304410686,0.411085050943099,-4.66395710500367,3.10186065456417e-06,0.00038124687317916,"EP10_001951"
389.079795702116,-1.13614845004197,0.336365953599223,-3.37771536591268,0.000730906931970446,0.0410324473513144,"EP10_001975"
3844.79239013106,1.01266620907095,0.299517526229884,3.38099149594912,0.000722247781327706,0.0410324473513144,"EP10_002113"
452.095526365393,2.19963868591694,0.395233410919974,5.56541685278301,2.61526463723169e-08,7.07167557907449e-06,"EP10_002156"
1588.576486205,1.22291882213013,0.262049224572659,4.66675230245168,3.05997843188865e-06,0.00038124687317916,"EP10_002622"
2784.75124117486,1.15204337714766,0.281188695610545,4.09704726801421,4.18453482477586e-05,0.00377166072206464,"EP10_002623"
237.238477656107,1.38354379930185,0.303462020361164,4.55919919618024,5.13490486470406e-06,0.000578532614756657,"EP10_002624"
259.879090248399,1.38297436315139,0.32342833892909,4.27598387862542,1.90294994450424e-05,0.00177433677584119,"EP10_002625"
321.781935692082,-1.29727848647398,0.349927351806913,-3.70727946751016,0.000209497714113043,0.014525174845171,"EP10_002679"
190.070646091621,-1.6326892626209,0.454154101035341,-3.5950116026671,0.000324377120057026,0.0199344484689591,"EP10_002805"
304.652604189585,-2.11912711635613,0.606030186595162,-3.49673525053587,0.000470989008420083,0.0283012061948423,"EP10_003020"
1295.05975397025,-1.5271373552713,0.454117160408522,-3.36287083689481,0.000771364455482692,0.041715389752504,"EP10_003069"
316.911142743395,-1.92005921931659,0.359099332038032,-5.3468749396427,8.94858003462802e-08,2.19972367396674e-05,"EP10_003512"
1194.57936149559,-1.70397332411204,0.419859194441423,-4.05843994051148,4.94016348754989e-05,0.00417443814697966,"EP10_003549"
1821.26799963394,-1.6006273123287,0.422047767311794,-3.79252643018063,0.000149122373203989,0.0108980242471239,"EP10_003550"
2871.38688738572,-1.74331399948785,0.40735900164984,-4.27955192453653,1.87269945818469e-05,0.00177433677584119,"EP10_003551"
8834.0827085916,-1.70409357559815,0.463613679674277,-3.6756757841904,0.00023722063327025,0.0160361148090689,"EP10_003552"
895.498752838495,-1.82980875582942,0.447740790065603,-4.08675911694646,4.37440879310795e-05,0.00381561334727868,"EP10_003553"
